For 1000 concurrent users, 20 times in span of 5 seconds

timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1513274738642,1,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,8,8,1,0,0
1513274738642,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,2,0,0
1513274738642,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,2,0,0
1513274738639,5,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,7,7,5,0,0
1513274738643,1,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,6,6,1,0,0
1513274738643,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738644,1,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,1,0,0
1513274738644,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738641,4,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,6,6,4,0,0
1513274738644,1,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,6,6,1,0,0
1513274738644,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,6,6,2,0,0
1513274738643,3,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,6,6,3,0,0
1513274738645,2,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,7,7,2,0,0
1513274738645,3,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,3,0,0
1513274738645,3,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,7,7,3,0,0
1513274738646,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,2,0,0
1513274738646,2,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,7,7,2,0,0
1513274738646,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,6,6,2,0,0
1513274738647,2,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,6,6,2,0,0
1513274738646,3,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,6,6,3,0,0
1513274738648,1,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,6,6,1,0,0
1513274738648,1,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,6,6,1,0,0
1513274738648,1,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,6,6,1,0,0
1513274738648,1,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,1,0,0
1513274738649,1,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,6,6,1,0,0
1513274738649,1,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,6,6,1,0,0
1513274738649,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,6,6,2,0,0
1513274738650,1,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,6,6,1,0,0
1513274738649,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,2,0,0
1513274738649,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,2,0,0
1513274738649,4,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,7,7,4,0,0
1513274738651,2,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,7,7,2,0,0
1513274738651,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,2,0,0
1513274738651,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,2,0,0
1513274738651,2,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,7,7,2,0,0
1513274738651,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,7,7,2,0,0
1513274738650,3,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,7,7,3,0,0
1513274738653,0,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,7,7,0,0,0
1513274738653,1,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,1,0,0
1513274738653,1,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,7,7,1,0,0
1513274738653,1,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,7,7,1,0,0
1513274738653,1,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,7,7,1,0,0
1513274738653,3,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,7,7,3,0,0
1513274738653,3,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,7,7,3,0,0
1513274738653,3,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,3,0,0
1513274738654,2,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,7,7,2,0,0
1513274738654,3,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,8,8,3,0,0
1513274738654,3,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,8,8,3,0,0
1513274738654,3,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,8,8,3,0,0
1513274738656,1,HTTP Request,200,,Grupa wątków 1-14,text,true,,322,432,8,8,1,0,0
1513274738656,2,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,8,8,2,0,0
1513274738656,2,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,8,8,2,0,0
1513274738656,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,8,8,2,0,0
1513274738656,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,8,8,2,0,0
1513274738658,36,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,15,15,36,0,0
1513274738658,36,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,15,15,36,0,0
1513274738657,37,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,15,15,37,0,0
1513274738658,36,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,15,15,36,0,0
1513274738657,37,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,15,15,37,0,0
1513274738657,37,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,15,15,37,0,0
1513274738657,37,HTTP Request,200,,Grupa wątków 1-14,text,true,,322,432,15,15,37,0,0
1513274738690,5,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,15,15,5,0,0
1513274738690,5,HTTP Request,200,,Grupa wątków 1-17,text,true,,322,432,15,15,5,0,1
1513274738690,6,HTTP Request,200,,Grupa wątków 1-20,text,true,,322,432,15,15,6,0,1
1513274738694,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,15,15,2,0,0
